hole_number,diameter_mm,h_m,l_m,a_m,b_m,q_kg_m3,charge_weight_calc_kg,primer_weight_kg,explosive_weight_kg,total_charge_weight_kg,capacity_kg_m,charge_length_m,stemming_length_m,subdrilling_m,drill_passport
6093,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6094,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6095,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6096,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6097,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6098,311.1,9.5,11.5,8.8,7.6,0.9,571.8240000000001,0.75,570,570.75,100.6,5.673459244532803,5.826540755467197,2.0,630-E030525_P_B_1.B
6099,311.1,9.5,11.5,8.8,7.6,0.9,571.8240000000001,0.75,570,570.75,100.6,5.673459244532803,5.826540755467197,2.0,630-E030525_P_B_1.B
6100,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6101,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6102,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6103,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6107,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6108,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6109,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6110,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6111,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6113,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6114,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6115,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6116,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6117,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6118,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
6119,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6120,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6121,311.1,10.0,12.0,8.8,7.6,0.75,501.59999999999997,0.75,500,500.75,100.6,4.9776341948310145,7.0223658051689855,2.0,630-E030525_P_B_1.B
6122,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6124,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6125,311.1,10.5,12.5,8.8,7.6,0.79,554.7696000000001,0.75,550,550.75,100.6,5.47465208747515,7.02534791252485,2.0,630-E030525_P_B_1.B
6126,311.1,10.0,12.0,8.8,7.6,0.9,601.92,0.75,600,600.75,100.6,5.971669980119285,6.028330019880715,2.0,630-E030525_P_B_1.B
