drill_passport,depth_m,litology_code
630-E030525_P_B_1.B,-1.37,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.36,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.35,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.34,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.33,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,-1.32,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.31,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.3,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.29,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.28,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.27,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.26,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,-1.24,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.23,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.22,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.21,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.2,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.19,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.18,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.17,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.16,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.15,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.14,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.13,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.12,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.1,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.06,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.04,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.03,quartz-mica foliated schists
630-E030525_P_B_1.B,-1.02,quartz-mica foliated schists
630-E030525_P_B_1.B,-0.96,quartz-mica foliated schists
630-E030525_P_B_1.B,-0.93,quartz-mica foliated schists
630-E030525_P_B_1.B,-0.9,quartz-mica foliated schists
630-E030525_P_B_1.B,0.01,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.02,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.03,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.04,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.05,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.06,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.07,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.08,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.09,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.1,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.11,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.12,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.13,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.14,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.15,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.16,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.17,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.18,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.19,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.2,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.21,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.22,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.23,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.24,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.25,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.26,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.27,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.28,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.29,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.3,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.31,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.32,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.33,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.34,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.35,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.36,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.37,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.38,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.39,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.4,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.41,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.42,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.43,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.44,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.45,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.46,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.47,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.48,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.49,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.5,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.51,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.52,quartz-mica foliated schists
630-E030525_P_B_1.B,0.53,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.54,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.55,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.56,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.57,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.58,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.59,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.6,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.61,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.62,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.63,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.64,quartz-mica foliated schists
630-E030525_P_B_1.B,0.65,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.66,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.67,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.68,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.69,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.7,quartz-mica foliated schists
630-E030525_P_B_1.B,0.71,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.72,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.73,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.74,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.75,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.76,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.77,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.78,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.79,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.8,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.81,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.82,quartz-mica foliated schists
630-E030525_P_B_1.B,0.83,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.84,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.85,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.86,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.87,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.88,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.89,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.9,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.91,quartz-mica foliated schists
630-E030525_P_B_1.B,0.92,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.93,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.94,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.95,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.96,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,0.97,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.98,mica-quartz_carbonate_massive_rocks
630-E030525_P_B_1.B,0.99,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,1.0,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,1.01,carbonaceous quartz-mica calcium metasomatites
630-E030525_P_B_1.B,1.02,carbonaceous quartz-mica calcium metasomatites
